mav1,rms1,zc1,wl1,ssc1,mav_slope1,ar_coeff1,psd1,mav2,rms2,zc2,wl2,ssc2,mav_slope2,ar_coeff2,psd2,label
11.053,27.5069991093176,0.272,14697,0.3215,14.7117117117117,0.129604185765956,0.2578125,3.935,5.99107669788995,0.399,4982,0.4385,4.98698698698699,0.229210892627503,0.19921875,front
9.455,22.7256463054409,0.295,12770,0.335,12.7827827827828,0.147364747347624,0.21484375,4.415,6.80859750609478,0.3925,5496,0.4405,5.5015015015015,0.295895148258001,0.1796875,front
16.832,35.9053756420957,0.302,21676,0.359,21.6976976976977,0.190187507130188,0.1953125,4.12,6.81513022619524,0.3995,5395,0.449,5.4004004004004,0.198254796052129,0.19140625,front
8.943,21.8037382116003,0.2845,12045,0.3445,12.0570570570571,0.120452336583246,0.1875,3.39,5.68700272551368,0.409,4596,0.459,4.6006006006006,0.151633492149498,0.1796875,front
13.158,30.40348664216,0.2975,17495,0.3495,17.5125125125125,0.132337557249708,0.1953125,3.767,5.77468613865723,0.3865,4876,0.428,4.88088088088088,0.237982344295366,0.15625,front
10.6,23.0208601055651,0.3035,13941,0.375,13.954954954955,0.167321322170212,0.1796875,4.521,6.94240592302121,0.3995,5803,0.4445,5.80880880880881,0.215453540971758,0.1640625,front
11.585,28.2728668514532,0.2865,15324,0.358,15.3393393393393,0.152826656236457,0.19921875,2.884,4.76298225904737,0.382,3856,0.4435,3.85985985985986,0.174195026990621,0.28125,front
13.384,28.8525562125785,0.2995,17093,0.3615,17.1101101101101,0.212329218634093,0.19140625,3.856,6.83505669325427,0.3925,5143,0.4525,5.14814814814815,0.151631171458224,0.2421875,front
19.483,43.9666805660832,0.2925,25207,0.3485,25.2322322322322,0.163120376786271,0.24609375,3.523,5.40175897277914,0.418,4631,0.46,4.63563563563564,0.181216645298248,0.26171875,front
11.449,26.3434432069918,0.3205,15528,0.3745,15.5435435435435,0.155888268883254,0.19140625,4.018,6.06531120388723,0.421,5280,0.475,5.28528528528529,0.164809086003377,0.1796875,front
16.168,34.8042238815923,0.299,20758,0.343,20.7787787787788,0.148549739330554,0.2109375,3.798,5.9174318754,0.394,5004,0.4425,5.00900900900901,0.198937262113501,0.2265625,front
10.615,24.7340049324811,0.3035,13937,0.3525,13.950950950951,0.117787654763135,0.2578125,3.948,5.9710970516313,0.421,5191,0.473,5.1961961961962,0.166786160034256,0.2265625,front
24.462,53.4606023160982,0.349,33816,0.391,33.8498498498498,0.0765325087501071,0.23046875,3.095,4.85252511585463,0.403,4075,0.454,4.07907907907908,0.140997980880354,0.1953125,front
7.303,16.9278764173183,0.2895,9893,0.3565,9.9029029029029,0.110827447075591,0.26953125,4.396,6.49538297562199,0.416,5558,0.4445,5.56356356356356,0.208599080754961,0.265625,front
15.627,34.4281135120703,0.288,20894,0.3325,20.9149149149149,0.136388467760957,0.18359375,5.283,8.00431133827264,0.397,6668,0.4445,6.67467467467468,0.235723911614704,0.19921875,front
15.851,34.5011738930721,0.309,21068,0.361,21.0890890890891,0.176060214386678,0.19140625,3.8,6.06695969988264,0.3785,4921,0.4275,4.92592592592593,0.209797055179913,0.17578125,front
11.104,24.5368294610367,0.278,14894,0.3275,14.9089089089089,0.0734503120200307,0.28515625,3.132,5.19595996905288,0.3665,4049,0.429,4.05305305305305,0.205787769190138,0.2265625,front
18.842,38.4171315951621,0.323,24320,0.368,24.3443443443443,0.140132221426675,0.203125,3.902,5.92756273690967,0.416,5124,0.456,5.12912912912913,0.228079525004239,0.1875,front
7.973,21.5858518479119,0.2515,10865,0.311,10.8758758758759,0.123172506213387,0.20703125,1.81,3.35946424300066,0.319,2460,0.3825,2.46246246246246,0.156666897885448,0.2109375,front
10.871,27.8296424698558,0.2605,13875,0.3185,13.8888888888889,0.0800361143454521,0.265625,2.467,4.45252737217864,0.35,3350,0.4085,3.35335335335335,0.170439309499975,0.21484375,front
10.3,23.3430503576546,0.2695,13081,0.33,13.0940940940941,0.166984607956899,0.203125,2.665,4.91741802168577,0.343,3456,0.4045,3.45945945945946,0.265249302370636,0.171875,front
12.552,29.9764240695918,0.3015,16717,0.3505,16.7337337337337,0.120668415088961,0.25,3.858,5.89338612344381,0.398,5076,0.4465,5.08108108108108,0.221818025133574,0.1796875,front
6.412,16.5582607782339,0.2475,8589,0.299,8.5975975975976,0.132712981388507,0.21875,4.348,6.70358113249926,0.3925,5669,0.4435,5.67467467467468,0.197315749080604,0.23046875,front
15.191,38.545388829275,0.278,19804,0.329,19.8238238238238,0.131124723236886,0.234375,3.028,5.06853035898967,0.379,4198,0.431,4.2022022022022,0.130867906578109,0.21875,front
10.062,23.4274625173107,0.31,13162,0.3615,13.1751751751752,0.135142324002541,0.18359375,2.826,4.53387251695501,0.3965,3807,0.4515,3.81081081081081,0.167158427697103,0.19140625,front
14.783,33.9190359532815,0.2815,19433,0.3315,19.4524524524525,0.174819816204372,0.203125,4.633,7.25224103294975,0.4045,5736,0.441,5.74174174174174,0.267760138328702,0.1640625,front
20.531,50.8075683338615,0.314,26850,0.366,26.8768768768769,0.159754454305138,0.2578125,4.204,6.64048191022308,0.4055,5505,0.446,5.51051051051051,0.189169504026271,0.20703125,front
15.964,37.2497248311984,0.287,20314,0.3485,20.3343343343343,0.188307400417513,0.19921875,4.406,6.75277720645365,0.3995,5730,0.4495,5.73573573573574,0.199985669516753,0.19921875,front
12.159,26.6768251484317,0.288,15558,0.3405,15.5735735735736,0.125231735573744,0.234375,4.444,7.24292758489273,0.3965,5823,0.4435,5.82882882882883,0.208082272321249,0.171875,front
19.642,41.4460854605112,0.3085,26187,0.3575,26.2132132132132,0.158464988001643,0.28125,2.805,4.71158147547084,0.3715,3741,0.4275,3.74474474474474,0.200952916820281,0.16015625,front
10.651,26.700318350162,0.331,13430,0.3885,13.4434434434434,0.171986785233809,0.203125,5.24,8.03753693615152,0.396,6800,0.4385,6.80680680680681,0.20722224437993,0.22265625,front
12.54,29.0281242935192,0.27,17268,0.33,17.2852852852853,0.0798984093651439,0.26953125,3.051,5.08163359560683,0.394,3952,0.443,3.95595595595596,0.17740673481269,0.19921875,front
20.965,50.3122947200781,0.3025,27932,0.3525,27.95995995996,0.111029942783008,0.2109375,3.495,5.91058372751795,0.4055,4723,0.4545,4.72772772772773,0.175357965823779,0.21875,front
24.568,61.6731059701066,0.296,31928,0.35,31.95995995996,0.152364447340474,0.25,4.804,7.70012986903468,0.384,5960,0.428,5.96596596596597,0.241684758033539,0.16796875,front
12.815,35.1793547410978,0.2545,17961,0.3115,17.978978978979,0.0590174253919928,0.1953125,3.524,6.25443842403137,0.3585,4577,0.4195,4.58158158158158,0.182803165240392,0.25,front
28.676,63.7363946266182,0.2815,36697,0.3465,36.7337337337337,0.127757617814815,0.19921875,4.071,6.15199154745843,0.405,5236,0.436,5.24124124124124,0.213605928325207,0.16796875,front
12.362,30.4635191663734,0.309,15922,0.3635,15.9379379379379,0.128488430481123,0.234375,4.47,6.82510073185737,0.4175,5811,0.4545,5.81681681681682,0.204263166112587,0.18359375,front
14.802,36.180989483429,0.2895,20019,0.3385,20.039039039039,0.0755973190609687,0.21484375,3.924,7.19346926037778,0.3565,5017,0.41,5.02202202202202,0.212846040579366,0.21484375,front
27.238,64.9089824292447,0.2875,36411,0.341,36.4474474474474,0.121514878147547,0.22265625,4.359,7.05712406012534,0.404,5562,0.4495,5.56756756756757,0.215529043083631,0.1953125,front
11.922,31.5145680598672,0.281,16212,0.3345,16.2282282282282,0.0973254904187464,0.2578125,2.578,4.26825491272487,0.3925,3463,0.4495,3.46646646646647,0.185536858617719,0.19140625,front
9.233,24.3600697864353,0.266,12426,0.322,12.4384384384384,0.114340467114454,0.2265625,4.926,7.3488774653004,0.4075,6275,0.44,6.28128128128128,0.189016753886215,0.2265625,front
22.017,53.3017541925217,0.267,29030,0.32,29.0590590590591,0.102632621717775,0.26953125,3.56,5.96841687552068,0.3825,4550,0.4315,4.55455455455456,0.216659538604038,0.16796875,front
